fr,en
elle croit que c'est un mito,she thinks it is a mitto
non,no
,
est-ce qu'ils ne viennent pas de lacher une bombe elle sait pour leur relation fraternelle wtf,did they not just drop a bomb she knows about their fraternal relationship wtf
oe,oe
difficile de dire ou va progresser rain ni comment va se finir histoire car mtn le monde d'origine a l'air de disparaitre pour laisser le monde des cauchemar devenir le nouveau monde des humain,difficult to say or will progress groove or how will end story because mtn the world of origin seems to disappear to let the world of nightmares become the new world of humans
possible aussi,also possible
morte,dead
mais je pense pas qu'elle va depasser l'ascendant,but i do not think she is going past the ascendant
ca depend jusqu'ou g pousse l'histoire,it depends until g pushes history
mrc pour les chapitres,mrc for chapters
moi jme demande si va aller au dessus du rang d'ascendant,i am asking if you are going to go above the rank of ascendant
vous pensez que rain va sera quel rang a la fin de l'histoire,you think that groove will be what rank at the end of the story
elle va devenir la chouchoute de jet quand elle va s'eveiller,she is going to be the favorite jet when she is going to get laid
les gens ont deja peur de rain alors qu'elle est meme pas eveille rigole,the people are already afraid of rain while she is not even waking up laughs
c'est pas suare a on a aucune info officielle mais la lignee c'est surement le truc qui se transmet et qui permet au gens d'avoir des aspects proches neph a l'attribut le feu qui dit qu'elle appartient a la lignee du dieu soleil mais c'est son grand pere qui a du l'obtenir alors qu'il n'avait pas l'aspect divin,it is not suare a we have no official information but the line is probably the thing that is transmitted and that allows people to have aspects close to neph to the attribute fire that says it belongs to the line of the sun god but it is his great father who must have got it when he did not have the divine aspect
ca risque pas de spoil,it will not spoil
les gars je vous recommande d'aller faire un tour sur le discord de guilty guilde il organise un evenement pour la fin du volume et il font un concours de fan art sur se theme et y'a des sacre dingueries,guys i recommend you go take a ride on the discord of guilty guild it organizes an event for the end of the volume and they do a fan art contest on itself theme and there is crazy sacre
httpstenorcomviewkiss-gif-,httpstenorcomviewkiss-gif-
il est efficace ce bono jai meme pas besoin de repondre quil explique tt,it is effective this bono jai even do not need to answer that it explains
il avait recyou une goute d'ichor qui etait cense lui donner acces a la lignee de l'ombre mais elle a ete devore par la lignee de weaver,he had recyou a taste of ichor which was supposed to give him access to the line of the shadow but she was devoured by the line of weaver
psq la lignee et les pouvoirs sont deux choses differenterentes la il te parle de la lignee de l'ombre comme il a herite de la lignee de weaver,psq the line and powers are two different things it speaks to you of the line of the shadow as it has inherited from the line of weaver
tu me dis qu'il n'a plus la lignee de l'ombre mais il utilise encore les ombres donc c'est pour ca que je ne comprends pas,you are telling me he does not have the shadow line anymore but he is still using shadows so that is why i do not understand
nan ba dcp moi aussi je me pose la question,nan ba dcp me too i wonder
es ce que je suis g,is what i am g
mais il a encore les elements de la lignee de l'ombre comme la danse ou l'aspect,but it still has elements of the line of the shadow like dance or appearance
il a celle de weaver qui a manger la lignee du dieu de lombre,he has the weaver who eats the line of the shadow god
il l'a perdu,he lost it
mais en vrai etant donne que sunny a perdu la ligne divine de lombre je le vois bien chope une nouvelle goute dichor et la donne a rain pour que elle ai la ligne,but in fact being given that sunny has lost the divine line of shadow i see him well gets a new taste dichor and the gift has groove so that she has the line
c vrai jai vu il evite les miroir jai instant pense a mordret qui vit dans cette zone,c true i saw it avoids the mirrors i immediately think a mordret who lives in this area
mais a priori il a besoin des miroir pour posseder quelqu'un il doit d'abord s'infiltrer a l'aide d'un miroir ou d'une autre personne possedee,but a priori he needs the mirror to own someone he must first infiltrate with the help of a mirror or another person possesses
gars t'en sais rien en vrai ptet que pour certaine personne c'est lier,you do not know that for some people it is binding
dans les derniers chapitres sunny fais attention aux miroirs mais mordret peut pas juste utiliser les yeux de rain,in the last sunny chapters pay attention to mirrors but bitert cannot just use the eyes of groove
le sortilege donne pas les aspect en fonction des prenom,the exitlege does not give the appearances according to the first name
faut arreter de fumer,stop smoking
ptet rain vu son nom si sa fait comme sunny son aspect aura un rapport avec la pluie ou le temps en general,ptet groove seen its name if its fact as sunny its appearance will have a relation to the rain or time in general
oe je pense qu'il va spawn mais pas avec naeve,o i think he goes spawn but not with naeve
pour l'instant on a eu trois aspects divins ca serait dommage qu'on ait pas les autres,for now we have had three divine aspects it would be a shame we do not have the others
c'est vrai,that is right
je vois mal l'aspect d'un maitre evolue en divin,i do not see the appearance of a master evolute in divine
et sinon ils peuvent toujours s'allier au gouvernement pour limiter la casse,and otherwise they can still join the government to limit the break
qu'ils passent seuls,that they pass alone
les autres possesseurs l'ont eu apres leur er cauchemar,the other possessors had it after their nightmare
oe mais bof,oe but bof
mais par contre oui un divin qui pop chez eux c'est possible,but yes a divine who pops in them is possible
s'il passe transcendant et qu'il se passe la meme chose que pour kai augmentation du rang de l'aspect,if it passes transcendent and happens the same thing as for kai increasing the rank of the aspect
bah dcp nn je vois mal l'aspect d'un maitre evolue en aspect divin,bah dcp nn i do not see the appearance of a master evolute in divine appearance
ca serait cool que ca soit naeve,it would be cool if it were born
apres sans souverain ils peuvent rien faire,after without sovereign they can do nothing
avec un peu de chance il vont avoir leur aspect divin qui va pop chez eux,with a little luck they will have their divine appearance that goes pop at them
et je me demande ce que va devenir la maison de la nuit ca serait bizarre qu'ils se fassent juste eteindre par les autres clans sans rien faire,and i wonder what the nighthouse is going to be like it would be weird if they were just going to get laid by the other clans without doing anything
mais les souverains ont l'air d'avoir des pouvoirs terrifiant je me demande vraiment a quel point un souverain avec un aspect divin sera puissant,but the sovereigns seem to have terrifying powers i really wonder how powerful a ruler with a divine aspect will be
bah c'est encore flou mais c'est fait expres j'imagine,well it is still blurry but it is done expres i guess
je t'avoue que je comprends pas trop nn plus les pouvoirs de la reine,i admit i do not understand the queen's powers too much
okok je vois pas trop la nuance pour l'instant mais jcomprendrais mieux quand on verra leurs pouvoirs plus tard j'imagine,okay i do not see the shade for now but i would understand better when we see their powers later i guess
l'autre est le dieu du cycle naissancemort,the other is the god of the dead birth cycle
il est le dieu de la mort,he is the god of death
t c'est pas lui le dieu de la mort dcp,he is not the god of death dcp
si,if
ah c'est pas le dieu de l'ombre qui a creer la mort un bail comme ca,oh it is not the shadow god who created death a long time ago
dieu bete ou deesse de la lune de la chasse du desir charnel du sang de la beaute et du cycle de la naissance et de la mort dieu des chasseurs,god bete or deesse of the moon of the hunting of the fleshly desire of the blood of the beauty and the cycle of birth and death god of hunters
autorite sur la mort interessant,authority on interesting death
oui,yes
c'est le solstice,it is the solstice
c pas le er cauchemar,c not the nightmare
caster,caster
ouais c'est technique,yeah it is technical
il a voulu suicider neph,he tried to kill neph
au moins un aspect sacre,at least one sacred aspect
il doit etre plus fort,it must be stronger
mais par contre je suis d'accord avec toi pour asterion,but i agree with you for asterion
il fait pas les meilleur choix lui mdr,he does not make the best choices to him
malheureusement anvil a balance son fils par la fenetre alors qu'il savait pour son aspect en plus il a voulu suicider nephis durant son premier cauchemar,unfortunately anvil threw his son through the window while he knew for his extra appearance he wanted to kill nephis during his first nightmare
mini theorie je pense que asterion est le seul souverrain divin chacun des autre souverain aurait trouve des gens avec justement des lignee pour pouvoir rivaliser avec lui on sait que cest le souverain qui fait le plus peur a nephis et qui selon sunny doit etre le plus fort car le plus mysterieux donc je pense que lui a une lignee divine et recherche dautre porteur divin pour une grande mission,mini theory i think that asterion is the only divine suverrain each of the other sovereign would have found people with precisely lines to be able to compete with it we know that it is the sovereign who makes the most fear a nephis and who according to sunny must be the strongest because the most mysterious so i think that he has a divine line and is looking for another divine carrier for a great mission
je dirais que c'est pas possible que seul un des deux souverains ait un aspect divin car il aurait ecrase l'autre comme l'aspect divin de la guerre ca a l'air d'etre mordret qui le possede je suppose que la souveraine n'a pas d'aspect divin et la plus probable a avoir cet aspect ca serait l'une de ses filles adoptives,i would say that it is not possible that only one of the two sovereigns has a divine aspect because he would have crushed the other as the divine aspect of the war it seems to be bitrate who possesses it i suppose the sovereign has no divine aspect and the most likely to have this aspect it would be one of his adopted daughters
depuis le debut je pense tu parle de la souveraine mdr,since the beginning i think you are talking about the sovereign mdr
ha je comprends mieux tes messages,ha i understand your messages better
jai cru tavais lu luvre avec un troisieme il ou une connerie dans le genre,i thought you would read with a third he or a piece of shit like that
on l'a pas encore decouverte la souveraine,we have not discovered the sovereign yet
ah ok jai eu peur,okay i was scared
ha nan je parle de la personne qui possede l'aspect divin chez song,ha nan i speak of the person who has the divine aspect in song
attend la tu es en train de me dire que tu pense que seishan celle qui est reste bloque des annees sur le rivage oublie tu pense que cest la souveraine de song,wait for you to tell me you think seishan the one who remains blocks years on the shore forgets you think it is the sovereign of song
totalement fait expres et je suis meme dans l'obligation de faire comme ca,totally expres and i am even under an obligation to do like this
c'est fait expres que l'ordre de parution de la trad soit le meme que sur le site webnovel et qu'il y'ait du coup chapitres de retard,it is done expres that the order of publication of the trad is the same as on the websitenovel and that there is suddenly chapters of delay
ou peut-etre qu'ils n'en ont juste pas,or maybe they just do not
peut-etre que c'est seishan alors on a pas eu beaucoup d'infos sur elle et elle faisait flipper sunny,maybe it is seishan so we did not get a lot of information about her and she was freaking sunny
la reponse au pk pas cest que cette guerre etait giga important pour song et valor et que si elle etait sur place elle aurait encule valor pour faire la different on a vu la puissance dun souverrain anvil qui a spawn avec sa pluie depee et tu pense que elle aurait laisse son clan faire un semblant degalite et perdre des saint et ses maitres,the answer to the pk not is that this war was important giga for song and valor and that if she were there she would fuck valor to make the different we saw the power of an anvil soverrain that spawn with its rain depee and you think she would have let her clan make a pretend degalite and lose saints and her masters
mais elle est placee au meme niveau que nephis et mordret donc pourquoi pas,but it is placed at the same level as nephis and then bites why not
elle parait effectivement un peu faible pour une detentrice d'aspect divin elle se fait battre par le frere de anvil qui malgre qu'il soit fort reste un saint sans aspect divin,she actually seems a little weak for a divine-looking detentress she gets beaten by the brother of anvil who misgresses that he remains a saint without divine aspect
et avec un divin qui se bat directement il aurait win plutot facilement,and with a divine who fights directly he would have won rather easily
je pense vrm pas car elle cest battu en antarctique,i think vrm is not because she is beaten in antarctica
mais ca m'etonnerai,but it will surprise me
ba logique c un rang au desssu quand meme,the same
ah moins que maitresse des betes soit la divine de song,unless the mistress of the beasts is the divine of the song
oe mais en mieux,oe but better
genre comme la maitresse des betes,like the beasts' mistress
je pense plutot ttes les creatures du cauchemar,i think pretty much the creations of the nightmare
pas que les vers,not just worms
la fin du chapitre ca fait penser que song peut controler les vers et ca serait pour ca qu'elle est appelee la reine des vers mouais nan pas moyen,the end of the chapter makes it seem that song can control the worms and that would be why she is called the queen of moese worms nan not average
tkt,tkt
thanks,thanks
le,on
ok,okay
att je vais re voir jai oublie,att i will see again i forgot
ct quelle date,ct what date
celui la est particulierement realiste je trouve mdr,that is especially realistic i find mdr
jai cherche dcp a quelle date a ete poste le chap et jai e te voire les meme de ce jour la ils sont geniaux mdr,i am looking for dcp on what date the chap was posted and i am even the same of that day they are genial
ui,ui
ptdr gratis sa,ptdr free of charge
alea,alea
vraiment petit,really small
bah techniquement il etait comme un petit ami,technically he was like a boyfriend
rigole rigole rigole,laughs laughs laughs
la pauvre elle a arrete de lui pauser des question tellzmt elle en peut plus,the poor she stopped interrupting her questions telllzmt she can more
je mattendais pas ce quil dise tt sa jai eclate de rire,i did not expect what he said about his laughter jai
ptdrrr il se lache sunny avec rain mdr,ptdrr it gets sunny with rain mdr
par contre je comprends pas comment il peut rester digne rain est devenue plus grande que lui alors qu'elle a quoi - ans de moins shibalaugh,on the other hand i do not understand how he can stay worthy of groove has become bigger than him when she is what - years less shibalaugh
meme si j'ai prefere les volumes precedents,even though i preferred the previous volumes
c'est pas mal,it is not bad
mdr le nom du,the name of the
peut-etre qu'elle se souvient pas de sainte mais juste de l'image qu'elle represente pour elle,maybe she does not remember a saint but just the image she represents for her
rain elle doit se souvenir de sainte vu qu'elle continue de vouloir devenir une eveillee ca serait parce qu'elle n'a pas associe sainte a sunny nephis elle n'a pas reconnu sainte autrement que comme une des statues de son cauchemar elle l'aurait oublie comme elle sait qu'elle appartient a sunny,she has to remember saintly since she continues to want to become a wake it would be because she did not associate saintly with sunny nephis she did not recognize saintly otherwise than as one of the statues of her nightmare she would have forgotten it as she knows she belongs to a sunny
c vrai,c true
ah oe fortement possible,strongly possible
ils ont juste les avantages communs de leveil genre lessence etc,they just have the common benefits of leveil like gas etc
si je crois quelle a dit quils devaient eveiller leur aspect,if i believe what said they should wake up their appearance
elle a dit qu'ils avaient pas de cauchemar mais je suis pas sur pour les aspect,she said they did not have a nightmare but i am not sure about the looks
pas,not
je sais,i know
ils etaient etonnes et ont compris que le sortilege est la pour les faires aller plus vite,they were etoning and realized that the exit lege is there to make them go faster
oui il me semble,yes it seems to me
c'est qui qui le dit ananke,that is who says ananke
ha nan je dit des betises les dormeurs naturels n'ont pas d'aspect,ha nan i say of the betises the natural sleepers have no appearance
en plus le frere adoptif de rain est mort dans son premier cauchemar,plus the adopted brother of the groove died in his first nightmare
que du bonus,only bonus
sans risquer de crever,without risk of dying
elle pourra le ez facilement dcp,she can easily ez dcp
donc elle va faire un premier cauchemar alors qu'elle a deja tous ce qu'il peut offrir,so she is going to have a first nightmare when she already has all that he can offer
oe je pense,o i think
mais elle sera encore infectee si elle devient eveillee,but she will still be infected if she wakes up
tout en pouvant la proteger,while protecting it
et il a justement une methode pour la faire s'eveiller,and he just has a method to make her sit down
oublie pas qu'il s'inquietait pour son premier cauchemar avant,do not forget he was worried about his first nightmare before
ptet que je me trompe mais ca m'etonnerai bcp,i am wrong but it will surprise me bcp
ca m'etonnerai que ca soit juste ca,i am sorry it is just that
et c est la meilleure solution pour ca,and this is the best solution for this
peut etre juste parce que il veut qu'elle devienne plus forte sans pour autant la mettre en grand danger mdrr,can be just because he wants her to become stronger without putting her in great danger
tkt j'avais compris,tkt i understood
jme suis mal exprime jvoulais dire irreel dans le sens exceptionnel pas dans le sens non reel oui jsuis un idiot,jme mal expresse jvolais say irreel in the exceptional sense not in the non real sense yes jsuis un idiot
son cauchemar n'etait pas irreel c'est la facon do not il l'a termine que le sortilege a juge exceptionnel,his nightmare was not irrational it is the way he finished it that the sortlege considered exceptional
elle va tomber contre des trucs qui seront adapte a sa puissance donc jackpot,she is going to fall for stuff that will fit her power so jackpot
tres possible effectivement,possible
nan c'est totalement contraire a ce qu'il veut faire si il cherche a l'eveille sans cauchemar c'est pas juste parce qu'il sait que c'est possible c'est qu'il a compris qqchose qu'on ne sait pas,nan it is totally contrary to what he wants to do if he wants to wake up without a nightmare it is not just because he knows it is possible it is because he understood something we do not know
c'est parce qu'il avait destin avant de s'eveiller,that is because he was destined before he got laid
sunny a fait un premier cauchemar irreel cest pour ca quil a eu son attribut divin,sunny had a first ireel nightmare that is why he had his divine attribute
donc si rain fait son premier cauchemar avec la puissance d'un dormeur voir d'un eveilles c'est le jackpot,so if the rain makes its first nightmare with the power of a sleeper seeing a wake it is the jackpot
et le cauchemar est toujours plus ou moins adapte a la puissance de la personne,and the nightmare is always more or less adapted to the power of the person
le premier cauchemar plus il est dangereux plus tu as un attribut puissant,the first nightmare the more dangerous it is the more powerful you have an attribute
ho,ho
ca doit ptet venir du fait quil veut pas que le sortilege decide pour elle,it is got to come from the fact that he does not want the release to decide for her
oh c possible sa,oh c
il veut pas qu'elle devienne dependante du sortilege si jamais il est detruit,he does not want her to become dependent on the exit leg if he is dead
doit yavoir une raison cache mais javoue que ca a pas forcement de sens,i guess there is a reason to hide but i admit it does not make sense
jpense pas,do not think
cest pour la proteger je pense c tt,it is to protect her i think
privilegier l'experience a la theorie,privilege experience in theory
le seul truc a la limite c'est que c'est moins mortel pour rain mais ca va a l'encontre des principes de sunny,the only thing that has the limit is that it is less lethal to the groove but it is against the principles of sunny
honnetement,honesty
de pas prendre le er cauchemar,not to take the nightmare
je vois pas l'interet,i do not see the interest
peut etre,may be
je pense pas c'est une specificite des noyaux de l'ame et de leur rang,i do not think it is a specificity of the nuclei of the soul and their rank
je pense pas non plus pour l'instant je ne comprend pas la decision de sunny,i do not think so yet either i do not understand the sunny decision
les dormeur classique oui mais je pense que les dormeur qui passe eveille deux meme peuvent avoir la possibilite de lutiliser tt seul,classic sleeper yes but i think that sleeper who passes wakes up two the same may have the possibility of using it alone
elle la ressent deja sans pouvoir lutiliser cest un bon debut,she already feels it without being able to use it is a good start
les dormeurs ne peuvent meme pas utiliser l'essence en plus,sleepers cannot even use gasoline anymore
je pense pas quelle sera plus forte en terme de pouvoir mais elle sera biensuare plus forte en terme de connaissance et de maniement de lessence car elle sait bien mieux queux la ressentir et dou ca vient,i do not think what will be stronger in terms of power but it will be stronger in terms of knowledge and handling of essence because she knows much better how to feel it and how it comes
sinon il y a moyen que les eveilles naturels soient plus forts que les eveilles par le cauchemar ca serait pour ca qu'il ne fait pas entrer rain dans son cauchemar,or there is a way that natural wakes are stronger than wakes by the nightmare that is why he does not get in his nightmare
rigole,laugh
je prend des risque enorme tu imagine pas,you cannot imagine
une ombre qui parle tu ne prends pas beaucoup de risques,a shadow that speaks you do not take a lot of risks
oki,oki
mouai trop fatigue pour explique je te demain pour texpliquer,mouse too tired to explain tomorrow to you to explain
j'ai pas tout compris de ce que t'as dit mais il veut que rain reste independante,i did not understand what you said but he wants to keep the groove independent
javoue que sa lui correspond bien,i confess that his match is good
mais meme si il est lui meme un saint et que ananke lui a explique les base comment il sait comment un humain classique devient eveille car il connait la theorie enfin a peu pres mais souvent la pratique reste differenterente,but even if he is even a saint and ananke has explained to him the basics how he knows how a classical human becomes awakened because he knows the theory at last almost but often the practice remains different
qui est assez con pour vouloir eveille qqun sans le sortilege,who is stupid enough to want to wake up without the exit
logique,logic
bah oui,yeah
hum sunny est tres tres surement le prof de rain sah mais,um sunny is very likely the sahrain teacher but
le retour de la goat en tout cas,the return of the goat anyway
httpstenorcomviewje-sais-pas-i-do not-know-faire-la-grimace-joe-friends-gif-,httpstenorcomviewje-sais-pas-i-do not-know-faire-la-grimace-joe-friends-gif-
jai le smile des que je vous la notif mrc gray,i will smile as soon as i notify you mrc gray
cassie elle sait que sunny est un saint et qu'il possede un aspect divin avec son aspect evolue,cassia she knows that sunny is a saint and that he has a divine aspect with its evolute appearance
parfait,perfect
mais juste pas dit car je parlais de la cohorte,but just not because i was talking about the cohort
je lavais compte,i used to count
oui il sont en tout,yes they are in all
babysitting,babysitting
ouai mais il y en a un qui doit surveiller rain,yeah but there is one that needs to keep an eye on it
mais attend il etait dans la cohorte sa fait si on compte pas sunny donc il peut theoriquement avoir un des ces clone avec chaque membre de la cohorte et faire ce quil veut,but waits he was in the cohort his fact if we do not expect sunny so he can theoretically have one of those clones with every member of the cohort and do what he wants
oh ptn lidee de fou,oh ptn madness
j'avoue,i confess
mdr,mdr
